n_goals;win_expectancy;n_goals_probability
0;0.6181785371488797;0.24502250565761322
0;0.3818214628511203;0.3504893342418296
1;0.6181785371488797;0.35192836623589635
1;0.3818214628511203;0.3741130502322909
2;0.6181785371488797;0.24856344233449054
2;0.3818214628511203;0.19556319000937278
3;0.6181785371488796;0.11599828456378145
3;0.3818214628511204;0.0650624318424965
4;0.6181785371488795;0.03848740120821863
4;0.38182146285112045;0.014771993674010407
5;0.6181785371488795;0
5;0.38182146285112045;0
0;0.10555204061731893;0.5861997332858508
0;0.8944479593826811;0.12914037250357016
1;0.10555204061731893;0.32135306491405147
1;0.8944479593826811;0.26885731242487865
2;0.10555204061731882;0.08384940436043402
2;0.8944479593826812;0.2766756822601613
3;0.10555204061731893;0.008597797439663886
3;0.8944479593826811;0.1896473395968786
4;0.10555204061731882;0
4;0.8944479593826812;0.09841594485259926
5;0.10555204061731882;0
5;0.8944479593826812;0.037263348361912245
0;0.7770563885349995;0.18228505719849225
0;0.22294361146500047;0.4487557119220491
1;0.7770563885349995;0.31843836885065413
1;0.22294361146500047;0.36653379030738187
2;0.7770563885349995;0.27311973067168294
2;0.22294361146500047;0.14818416185579678
3;0.7770563885349995;0.15947159666696087
3;0.22294361146500047;0.0365263359147726
4;0.7770563885349996;0.0666852466122102
4;0.22294361146500044;0
5;0.7770563885349996;0
5;0.22294361146500044;0
0;0.46424915081150897;0.3402605801398988
0;0.535750849188491;0.30740290728566044
1;0.46424915081150886;0.37299014781363904
1;0.5357508491884911;0.36892295550187176
2;0.46424915081150886;0.19987429049267066
2;0.5357508491884911;0.21667455300769567
3;0.46424915081150886;0.06979358887604507
3;0.5357508491884911;0.08408842231919174
4;0.46424915081150886;0.017081392677746703
4;0.5357508491884911;0.022911161885580695
5;0.46424915081150897;0
5;0.535750849188491;0
0;0.05475028272712601;0.6421843829497516
0;0.945249717272874;0.08804729812603818
1;0.05475028272712601;0.29473293305211123
1;0.945249717272874;0.21642908146560869
2;0.05475028272712601;0.06308268399813742
2;0.945249717272874;0.2675098599980768
3;0.05475028272712601;0
3;0.945249717272874;0.2238776940533101
4;0.05475028272712612;0
4;0.9452497172728739;0.1393995954658455
5;0.05475028272712612;0
5;0.9452497172728739;0.06473647089112097
0;0.16014977132287633;0.518424440957014
0;0.8398502286771237;0.15908284073841572
1;0.16014977132287644;0.3469262149421793
1;0.8398502286771236;0.2942413842951511
2;0.16014977132287633;0.11190129874242066
2;0.8398502286771237;0.27205624085877544
3;0.16014977132287644;0.022748045358386076
3;0.8398502286771236;0.17090808257785697
4;0.16014977132287644;0
4;0.8398502286771236;0.07795835555764351
5;0.16014977132287644;0
5;0.8398502286771236;0.025753095972157372
0;0.5142346966326947;0.30144761859860464
0;0.48576530336730533;0.3148728886976799
1;0.5142346966326946;0.36940351185577425
1;0.4857653033673054;0.37014451064230547
2;0.5142346966326945;0.2200554112830802
2;0.48576530336730556;0.21431769637491604
3;0.5142346966326945;0.08540081632304135
3;0.48576530336730556;0.07984753802908721
4;0.5142346966326944;0.023692641939499506
4;0.4857653033673056;0.020817366256011424
5;0.5142346966326945;0
5;0.48576530336730556;0
0;0.07854570570197172;0.5750253289616598
0;0.9214542942980283;0.08815548228425939
1;0.07854570570197172;0.3257994711259182
1;0.9214542942980283;0.21891291196778687
2;0.07854570570197172;0.0867332571064178
2;0.9214542942980283;0.2709968695716955
3;0.07854570570197172;0.01244194280600402
3;0.9214542942980283;0.223651783615057
4;0.07854570570197161;0
4;0.9214542942980284;0.13666004860643136
5;0.07854570570197161;0
5;0.9214542942980284;0.06162290395476963
0;0.6988473090712983;0.22884977998909503
0;0.30115269092870167;0.4159128218625232
1;0.6988473090712983;0.3478765311945252
1;0.3011526909287016;0.3726199076593894
2;0.6988473090712983;0.253188890954864
2;0.30115269092870167;0.1629684417866168
3;0.6988473090712983;0.12554015587293138
3;0.30115269092870167;0.04504471244462187
4;0.6988473090712983;0.04454464198858456
4;0.3011526909287016;0.0034541162468489537
5;0.6988473090712983;0
5;0.3011526909287016;0
0;0.14386734926894462;0.46407982829107675
0;0.8561326507310554;0.1142172999484457
1;0.14386734926894462;0.3640615575305305
1;0.8561326507310554;0.2518792016688183
2;0.14386734926894462;0.13648554678825864
2;0.8561326507310554;0.27584900161645487
3;0.14386734926894462;0.03537306739013433
3;0.8561326507310554;0.20323469188999685
4;0.14386734926894462;0
4;0.8561326507310554;0.11338720429214322
5;0.14386734926894473;0
5;0.8561326507310553;0.04143260058414135
0;0.06314516167965134;0.6482968087108775
0;0.9368548383203487;0.10350009837757501
1;0.06314516167965134;0.2902337988738722
1;0.9368548383203487;0.2374726244277893
2;0.06314516167965134;0.06146939241525048
2;0.9368548383203487;0.2726851232567914
3;0.06314516167965134;0
3;0.9368548383203487;0.2104436212358371
4;0.06314516167965123;0
4;0.9368548383203488;0.12315761147592041
5;0.06314516167965134;0
5;0.9368548383203487;0.05274092122608692
0;0.11613011994856459;0.5036649148586788
0;0.8838698800514354;0.10372068328880542
1;0.11613011994856459;0.3530502085787334
1;0.8838698800514354;0.24168308407078748
2;0.11613011994856459;0.1185795619293649
2;0.8838698800514354;0.2746830951269794
3;0.11613011994856459;0.02470531463322275
3;0.8838698800514354;0.2103717282742139
4;0.1161301199485647;0
4;0.8838698800514353;0.12203903474297478
5;0.11613011994856448;0
5;0.8838698800514355;0.04750237449623891
0;0.2707072257268105;0.45787209553863184
0;0.7292927742731895;0.23285952589557163
1;0.2707072257268105;0.3650191152815544
1;0.7292927742731895;0.34290696250004554
2;0.2707072257268105;0.1420429739398153
2;0.7292927742731895;0.24893515286428652
3;0.2707072257268106;0.03506581523999847
3;0.7292927742731894;0.12177508374373434
4;0.2707072257268106;0
4;0.7292927742731894;0.04278808401193274
5;0.2707072257268106;0
5;0.7292927742731894;0.010735190984429151
0;0.27647335829739283;0.44559035417129866
0;0.7235266417026072;0.2289881861615074
1;0.2764733582973927;0.36813308290919033
1;0.7235266417026073;0.34186775785093115
2;0.2764733582973927;0.14836502682295527
2;0.7235266417026073;0.25060117841070384
3;0.2764733582973927;0.037911536096555634
3;0.7235266417026073;0.12356682987877986
4;0.2764733582973926;0
4;0.7235266417026074;0.04395947950584461
5;0.2764733582973927;0
5;0.7235266417026073;0.011016568192233147
0;0.1639774892337843;0.5304537299555344
0;0.8360225107662157;0.16981675238461663
1;0.1639774892337843;0.3420302061083365
1;0.8360225107662157;0.3041129286698245
2;0.1639774892337844;0.10679501306904562
2;0.8360225107662156;0.27022860190121417
3;0.1639774892337843;0.02072105086708346
3;0.8360225107662157;0.16175054687549334
4;0.1639774892337843;0
4;0.8360225107662157;0.07152609868808565
5;0.1639774892337844;0
5;0.8360225107662156;0.02256507148076583
0;0.16987347152727494;0.47063853425094937
0;0.8301265284727251;0.14164400826879825
1;0.16987347152727494;0.3631978920987463
1;0.8301265284727251;0.2801985167950316
2;0.16987347152727494;0.13500028029110972
2;0.8301265284727251;0.276457106399506
3;0.16987347152727494;0.031163293359194662
3;0.8301265284727251;0.1826864062126543
4;0.16987347152727494;0
4;0.8301265284727251;0.08878887058997732
5;0.16987347152727494;0
5;0.8301265284727251;0.030225091734032546
0;0.37313776722559;0.38201293281634346
0;0.62686223277441;0.2673405224324355
1;0.3731377672255899;0.3762020599717061
1;0.6268622327744101;0.35844764582380984
2;0.3731377672255899;0.17825182242467982
2;0.6268622327744101;0.23261462755970055
3;0.37313776722559;0.05508151973905676
3;0.62686223277441;0.1027235359961844
4;0.37313776722559;0.008451665048213791
4;0.62686223277441;0.03205053401350351
5;0.37313776722559;0
5;0.62686223277441;0.006823134174366081
0;0.6407979013697906;0.2431376120004396
0;0.3592020986302093;0.3715343211238225
1;0.6407979013697906;0.3518332411838674
1;0.3592020986302093;0.3737421888429135
2;0.6407979013697906;0.24903351070665272
2;0.3592020986302093;0.18475198083105793
3;0.6407979013697906;0.11677787875837217
3;0.3592020986302093;0.057584001720724344
4;0.6407979013697906;0.03921775735066857
4;0.3592020986302094;0.01238750748148222
5;0.6407979013697905;0
5;0.35920209863020947;0
0;0.24802083905539585;0.3848152762335921
0;0.7519791609446042;0.15970961239759146
1;0.24802083905539585;0.37549228199612483
1;0.7519791609446042;0.2997418690155129
2;0.24802083905539596;0.1756249544494348
2;0.751979160944604;0.27453347229039865
3;0.24802083905539585;0.05630256355960389
3;0.7519791609446042;0.16667415884932757
4;0.24802083905539596;0.007764923761244315
4;0.751979160944604;0.07735203922262571
5;0.24802083905539596;0
5;0.751979160944604;0.021988848224543587
0;0.2490791815377743;0.41691203419392653
0;0.7509208184622257;0.18818167420988086
1;0.2490791815377742;0.3766012534840614
1;0.7509208184622258;0.3201576272425027
2;0.24907918153777409;0.1623738840442333
2;0.7509208184622259;0.2646366641583505
3;0.2490791815377742;0.04411282827777868
3;0.7509208184622258;0.14959734016145454
4;0.2490791815377743;0
4;0.7509208184622257;0.060423515820995456
5;0.2490791815377743;0
5;0.7509208184622257;0.017003178406815866
0;0.5246957983960514;0.326497593934111
0;0.47530420160394865;0.3495611783272614
1;0.5246957983960514;0.3721540676538039
1;0.47530420160394865;0.3734154499105717
2;0.5246957983960514;0.20622592170188744
2;0.47530420160394865;0.1947566692918533
3;0.5246957983960514;0.0758424844730027
3;0.47530420160394865;0.06627490288658713
4;0.5246957983960512;0.01927993223719534
4;0.47530420160394876;0.01599179958372683
5;0.5246957983960512;0
5;0.47530420160394876;0
0;0.24366111140502988;0.4260934615102091
0;0.7563388885949701;0.18745701509821447
1;0.24366111140502988;0.37378479458311537
1;0.7563388885949701;0.31817208304373307
2;0.24366111140503;0.15814974209558819
2;0.75633888859497;0.26494151146804606
3;0.24366111140502988;0.04197200181108726
3;0.7563388885949701;0.15062661543885114
4;0.24366111140503;0
4;0.75633888859497;0.061195390386236045
5;0.24366111140503;0
5;0.75633888859497;0.017607384564919074
0;0.3193501510183807;0.4000508584409784
0;0.6806498489816193;0.23242999420051644
1;0.3193501510183806;0.374903511921874
1;0.6806498489816194;0.34611974287512465
2;0.3193501510183808;0.17103691341002802
2;0.6806498489816192;0.24845295709914456
3;0.3193501510183806;0.04990912483339463
3;0.6806498489816194;0.12120798326352787
4;0.3193501510183806;0.0040995913937249195
4;0.6806498489816194;0.04167647851644464
5;0.3193501510183807;0
5;0.6806498489816193;0.010112844045241737
0;0.2082483934147309;0.47274862489635266
0;0.7917516065852691;0.1818400064423382
1;0.2082483934147309;0.3614719780164841
1;0.7917516065852691;0.31368650711900214
2;0.208248393414731;0.13466557999153783
2;0.791751606585269;0.2675627206944977
3;0.208248393414731;0.031113817095625516
3;0.791751606585269;0.15376570082803198
4;0.208248393414731;0
4;0.791751606585269;0.06398138706812606
5;0.208248393414731;0
5;0.791751606585269;0.019163677848003983
0;0.3078728157860865;0.42105878502982225
0;0.6921271842139135;0.23748906326757518
1;0.3078728157860865;0.37145258621999977
1;0.6921271842139135;0.3472747392444862
2;0.3078728157860865;0.15977827394011396
2;0.6921271842139135;0.24612203165595722
3;0.3078728157860864;0.044230793297698474
3;0.6921271842139136;0.11858581454156158
4;0.3078728157860865;0.0034795615123656334
4;0.6921271842139135;0.04071012619862826
5;0.3078728157860866;0
5;0.6921271842139134;0.009818225091791559
0;0.1965686772982227;0.44259661412101237
0;0.8034313227017773;0.15271266633268635
1;0.1965686772982228;0.3691753251789681
1;0.8034313227017772;0.29117876523473624
2;0.1965686772982227;0.14764114681770757
2;0.8034313227017773;0.2737048139490487
3;0.1965686772982228;0.04058691388231192
3;0.8034313227017772;0.17368111689379814
4;0.1965686772982228;0
4;0.8034313227017772;0.08325278296592445
5;0.1965686772982228;0
5;0.8034313227017772;0.02546985462380605
0;0.2828263375546898;0.4032205304421652
0;0.7171736624453102;0.20218510845109078
1;0.28282633755468967;0.375211271266093
1;0.7171736624453103;0.3304357949908199
2;0.28282633755468967;0.16911238044594284
2;0.7171736624453103;0.2601513192038772
3;0.2828263375546898;0.048631496952688286
3;0.7171736624453102;0.1394177689463685
4;0.2828263375546898;0.003824320893110567
4;0.7171736624453102;0.05348329112266807
5;0.2828263375546899;0
5;0.7171736624453101;0.01432671728517557
0;0.47472383036851906;0.2694641125149137
0;0.5252761696314809;0.25122809763748044
1;0.47472383036851895;0.3651403760664683
1;0.525276169631481;0.3549351964529679
2;0.47472383036851906;0.23355797496001507
2;0.5252761696314809;0.2429824308137264
3;0.47472383036851895;0.10065848603715424
3;0.525276169631481;0.11060458480026529
4;0.47472383036851884;0.03117905042144877
4;0.5252761696314812;0.0365160271582263
5;0.47472383036851906;0
5;0.5252761696314809;0.0037336631373337246
0;0.6794792340076923;0.25647541694869597
0;0.32052076599230767;0.42849737702618856
1;0.6794792340076925;0.3545624191000668
1;0.32052076599230755;0.37062604607551203
2;0.6794792340076923;0.24217603232761648
2;0.32052076599230767;0.15802529786536845
3;0.6794792340076923;0.11054803307217032
3;0.3205207659923077;0.0428512790329309
4;0.6794792340076923;0.036238098551450396
4;0.32052076599230767;0
5;0.6794792340076924;0
5;0.3205207659923076;0
0;0.4514394469562606;0.36257070932225566
0;0.5485605530437394;0.3170159049042121
1;0.4514394469562608;0.37386583599635925
1;0.5485605530437392;0.37090458632500234
2;0.4514394469562608;0.18783215050615762
2;0.5485605530437392;0.21214559085208548
3;0.4514394469562608;0.06145059736350082
3;0.5485605530437392;0.07886853067474307
4;0.4514394469562608;0.014280706811726452
4;0.5485605530437392;0.02106538724395679
5;0.4514394469562608;0
5;0.5485605530437392;0
0;0.1833749807537528;0.4611717653593874
0;0.8166250192462472;0.15030042804709035
1;0.1833749807537527;0.3659992556817377
1;0.8166250192462473;0.2880410555355607
2;0.1833749807537527;0.1395149452578125
2;0.8166250192462473;0.2751044083075638
3;0.1833749807537528;0.0333140337010622
3;0.8166250192462472;0.17676310356205707
4;0.1833749807537528;0
4;0.8166250192462472;0.08241129583100296
5;0.1833749807537527;0
5;0.8166250192462473;0.027379708716724894
0;0.3638982425540015;0.37057162635804475
0;0.6361017574459985;0.24649571059907072
1;0.3638982425540015;0.37544680925025964
1;0.6361017574459985;0.35120492031402106
2;0.3638982425540014;0.183684987735377
2;0.6361017574459986;0.2443807026804465
3;0.3638982425540014;0.05770575064998856
3;0.6361017574459986;0.11249261260694159
4;0.3638982425540015;0.012590826006330397
4;0.6361017574459985;0.037063098288311676
5;0.3638982425540015;0
5;0.6361017574459985;0.008362955511208789
0;0.10945240477182572;0.5190972689995967
0;0.8905475952281743;0.10284736555137493
1;0.10945240477182572;0.3504044676204005
1;0.8905475952281743;0.2407520292447547
2;0.10945240477182572;0.11137947024353546
2;0.8905475952281743;0.27441567087761587
3;0.10945240477182572;0.019118793136467215
3;0.8905475952281743;0.21235389095280535
4;0.10945240477182583;0
4;0.8905475952281742;0.12011630066174461
5;0.10945240477182572;0
5;0.8905475952281743;0.04951474271170449
0;0.5386814681993428;0.288020319012259
0;0.46131853180065724;0.3232263307212336
1;0.5386814681993428;0.3649327756972447
1;0.46131853180065724;0.37083785132791947
2;0.5386814681993428;0.2276337686397862
2;0.46131853180065713;0.2092698006359084
3;0.5386814681993428;0.09283459769004791
3;0.46131853180065713;0.07688576377857208
4;0.5386814681993428;0.02657853896066239
4;0.4613185318006572;0.019780253536366726
5;0.5386814681993428;0
5;0.4613185318006572;0
0;0.613103190376395;0.24092325330681558
0;0.3868968096236049;0.3411094782284335
1;0.613103190376395;0.35090732378710565
1;0.3868968096236049;0.37383821510632625
2;0.613103190376395;0.25080983625103354
2;0.3868968096236049;0.20074188831475903
3;0.6131031903763952;0.1182418709382901
3;0.38689680962360484;0.06840668722785545
4;0.613103190376395;0.039117715716755486
4;0.3868968096236049;0.015903731122626035
5;0.613103190376395;0
5;0.3868968096236049;0
0;0.7912362018754621;0.17387842815589136
0;0.2087637981245379;0.45573217459299176
1;0.7912362018754621;0.3111135963875365
1;0.20876379812453794;0.365530987335104
2;0.7912362018754621;0.2760606013550607
2;0.20876379812453794;0.143884929317642
3;0.7912362018754621;0.16677642380085733
3;0.20876379812453794;0.03485190875426225
4;0.7912362018754621;0.07217095030065412
4;0.2087637981245379;0
5;0.7912362018754621;0
5;0.20876379812453794;0
0;0.9249033990464449;0.1174200865025028
0;0.07509660095355508;0.6345115885697368
1;0.9249033990464449;0.258796185317984
1;0.07509660095355508;0.296048071965979
2;0.9249033990464449;0.28822077895332376
2;0.07509660095355508;0.06944033946428434
3;0.9249033990464449;0.21496021849389227
3;0.07509660095355507;0
4;0.9249033990464449;0.12060273073229737
4;0.07509660095355507;0
5;0.9249033990464449;0
5;0.0750966009535551;0
0;0.8044984681395184;0.20075348277301241
0;0.19550153186048164;0.5198061668708716
1;0.8044984681395184;0.3294041707525559
1;0.19550153186048164;0.345016903569147
2;0.8044984681395184;0.2663749508406787
2;0.19550153186048164;0.11245544837003207
3;0.8044984681395184;0.14465949003291034
3;0.1955015318604816;0.022721481189949374
4;0.8044984681395184;0.0588079056008427
4;0.1955015318604816;0
5;0.8044984681395184;0
5;0.1955015318604816;0
0;0.7394918941650467;0.19808050810068661
0;0.2605081058349533;0.43599566522155464
1;0.7394918941650467;0.3236562015173653
1;0.2605081058349533;0.3648480876741892
2;0.7394918941650466;0.2700175841782675
2;0.2605081058349534;0.15709624152342158
3;0.7394918941650467;0.14923796376293058
3;0.2605081058349533;0.04206000558083478
4;0.7394918941650467;0.05900774244075027
4;0.2605081058349533;0
5;0.7394918941650468;0
5;0.26050810583495326;0
0;0.8044334619939508;0.16898374414034592
0;0.19556653800604915;0.4740837380471122
1;0.8044334619939508;0.30792684779922996
1;0.19556653800604915;0.35969526459977774
2;0.8044334619939508;0.27802871797284495
2;0.19556653800604915;0.1353522348840645
3;0.8044334619939508;0.16917762898694702
3;0.19556653800604915;0.030868762469045498
4;0.8044334619939508;0.07588306110063205
4;0.19556653800604915;0
5;0.8044334619939508;0
5;0.19556653800604917;0
0;0.6684324680153517;0.2124263512295851
0;0.33156753198464833;0.3646659984989662
1;0.6684324680153517;0.33536886283210854
1;0.3315675319846483;0.37072973184974645
2;0.6684324680153517;0.2621691929314807
2;0.3315675319846483;0.18852159193121992
3;0.6684324680153517;0.13631455074829535
3;0.3315675319846482;0.06325609439067681
4;0.6684324680153517;0.0537210422585301
4;0.3315675319846482;0.012826583329390311
5;0.6684324680153518;0
5;0.33156753198464817;0
0;0.584278231453647;0.26362440890057365
0;0.41572176854635295;0.3395442157225258
1;0.5842782314536471;0.35839900137265857
1;0.4157217685463529;0.37292816701812886
2;0.5842782314536471;0.2399607251994798
2;0.4157217685463529;0.20189290807047403
3;0.5842782314536471;0.1051317726068458
3;0.4157217685463529;0.06906862536155196
4;0.5842782314536472;0.03288409192044245
4;0.41572176854635284;0.016566083827319604
5;0.5842782314536472;0
5;0.41572176854635273;0
0;0.8782547612568553;0.10417771848833227
0;0.12174523874314465;0.4920158787790545
1;0.8782547612568553;0.24936905250198652
1;0.12174523874314465;0.353475122879023
2;0.8782547612568554;0.2880996612946121
2;0.12174523874314463;0.1274720615478076
3;0.8782547612568553;0.22523849054808553
3;0.12174523874314465;0.02703693679411483
4;0.8782547612568553;0.13311507716698356
4;0.12174523874314465;0
5;0.8782547612568553;0
5;0.12174523874314465;0
0;0.8899034789114983;0.10867935303114654
0;0.11009652108850164;0.5325736383392577
1;0.8899034789114983;0.2537469471599582
1;0.11009652108850164;0.3404999506446297
2;0.8899034789114983;0.29038464191529983
2;0.11009652108850164;0.10902988148649351
3;0.8899034789114983;0.22223229026039368
3;0.11009652108850163;0.017896529529619096
4;0.8899034789114983;0.12495676763320172
4;0.11009652108850161;0
5;0.8899034789114983;0
5;0.11009652108850165;0
0;0.869692657195017;0.13569597236351355
0;0.130307342804983;0.5348067135645282
1;0.869692657195017;0.2814912575397208
1;0.130307342804983;0.34048213822601014
2;0.869692657195017;0.2862088963964851
2;0.13030734280498302;0.10769034390159354
3;0.869692657195017;0.19696040122880443
3;0.130307342804983;0.01702080430786809
4;0.869692657195017;0.09964347247147612
4;0.130307342804983;0
5;0.869692657195017;0
5;0.13030734280498302;0
0;0.7305922821656092;0.20705539276141738
0;0.2694077178343907;0.42468362776698093
1;0.7305922821656093;0.3319361786475349
1;0.26940771783439066;0.3708843667764778
2;0.7305922821656093;0.26453067596113344
2;0.26940771783439066;0.16100152221107436
3;0.7305922821656092;0.14209225823043325
3;0.2694077178343907;0.043430483245467146
4;0.7305922821656093;0.054385494399481246
4;0.26940771783439066;0
5;0.7305922821656095;0
5;0.2694077178343906;0
0;0.873252672361911;0.11628556327465157
0;0.1267473276380891;0.5097242330909724
1;0.873252672361911;0.26264448837261267
1;0.12674732763808907;0.3488391369884071
2;0.873252672361911;0.29041278021378436
2;0.1267473276380891;0.12036980100317758
3;0.873252672361911;0.2146028243629099
3;0.1267473276380891;0.021066828917443103
4;0.8732526723619108;0.1160543437760416
4;0.12674732763808913;0
5;0.8732526723619108;0
5;0.12674732763808916;0
0;0.5233857217484984;0.2670563868602897
0;0.4766142782515016;0.28739607521425464
1;0.5233857217484984;0.3602649843586492
1;0.4766142782515016;0.366237298321051
2;0.5233857217484983;0.2391859471349292
2;0.47661427825150166;0.2285796713436156
3;0.5233857217484984;0.10279025627152939
3;0.4766142782515016;0.09210201171443602
4;0.5233857217484984;0.030702425374602754
4;0.4766142782515016;0.025684943406642985
5;0.5233857217484985;0
5;0.47661427825150143;0
